tree_id,path,context,story_block_1,previous_action,story_block_2
apoc_seed1,0000,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"They remind you of when you needed to eat a bland diet after your operation. You pat yourself on where you remember the incision was made. The scar healed long ago, but the brain remembers. The crackers weren't very nutritious, but some fuel in the tank is better than none.",Continue to look for food in the building up ahead.,You find a moldy sandwich and some peppered beef jerky in an old lunchbox.
apoc_seed1,0001,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"They remind you of when you needed to eat a bland diet after your operation. You pat yourself on where you remember the incision was made. The scar healed long ago, but the brain remembers. The crackers weren't very nutritious, but some fuel in the tank is better than none.",Look for water for hydration and to fool the stomach until ore food can be found.,"No water can be found in the cars, and suddenly you regret eating salted crackers: you can feel your tongue swelling up, begging for some hydration."
apoc_seed1,0002,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"They remind you of when you needed to eat a bland diet after your operation. You pat yourself on where you remember the incision was made. The scar healed long ago, but the brain remembers. The crackers weren't very nutritious, but some fuel in the tank is better than none.",Search the cars for clothing.,There is no clothing in the car.
apoc_seed1,0003,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"They remind you of when you needed to eat a bland diet after your operation. You pat yourself on where you remember the incision was made. The scar healed long ago, but the brain remembers. The crackers weren't very nutritious, but some fuel in the tank is better than none.",Begin to walk towards the nearest town.,"You arrive and, despite the state of things, many store lights seem to be functioning. The first store you encounter is a gun shop. You decide to step inside."
apoc_seed2,0000,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"It tastes just like a granola bar you enjoyed when you were younger. In an instant, you are transported to a school hiking trip. Your mind is awash by the mountain air and the bundles of sticks and leaves that formed the trail. Those days seem so long ago now...",Look for other doors inside the store.,"You find the store manager's door, with a set of keys hanging off the lock. The door, though, seems to be blocked from the inside."
apoc_seed2,0001,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"It tastes just like a granola bar you enjoyed when you were younger. In an instant, you are transported to a school hiking trip. Your mind is awash by the mountain air and the bundles of sticks and leaves that formed the trail. Those days seem so long ago now...",Check to see if there are any batteries in the flashlight.,There are batteries in the flashlight but they are dead.
apoc_seed2,0002,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"It tastes just like a granola bar you enjoyed when you were younger. In an instant, you are transported to a school hiking trip. Your mind is awash by the mountain air and the bundles of sticks and leaves that formed the trail. Those days seem so long ago now...",Check to see if the flashlight works.,"You push the soft, mushy rubber button and a faint light emerges. You are familiar with this brand of torch and consider keeping it in case you find a better battery."
apoc_seed2,0003,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"It tastes just like a granola bar you enjoyed when you were younger. In an instant, you are transported to a school hiking trip. Your mind is awash by the mountain air and the bundles of sticks and leaves that formed the trail. Those days seem so long ago now...",Check the storage rooms for tools and supplies.,"It's clear that whoever ransacked the store, was someone really organized and with a means of transport: even the storage rooms are completely empty."
apoc_seed3,0000,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"There's nothing around, so you resort to taking off your pants and wrapping it around your chest. There's a mild draft right now...",Check for other injuries.,"There are some superficial cuts on the arms, but nothing else seems to be broken."
apoc_seed3,0001,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"There's nothing around, so you resort to taking off your pants and wrapping it around your chest. There's a mild draft right now...",Look around for ways to make the room warmer.,At that moment Someone runs in yielding a blanket and lantern.
apoc_seed3,0002,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"There's nothing around, so you resort to taking off your pants and wrapping it around your chest. There's a mild draft right now...",Check for other injuries.,"You're severely bleeding from the right calf: taking off the pants exposed the deep cut, and the blood is pouring down into the shoe. Moving around won't be easy, nor pleasurable."
apoc_seed3,0003,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,"There's nothing around, so you resort to taking off your pants and wrapping it around your chest. There's a mild draft right now...",Look around for ways to make the room warmer.,You look around but you're starting to get faint and light headed. Your last thought in the split second before you pass out was to wonder if you'll have enough air by the time you hopefully wake up.
apoc_seed4,0000,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You find meat in the fridge that looks like it's gone bad. You also find a can of peas in the bottom of the pantry.,Search the farmhouse for tools and utencils.,You find a broom in the closet and a wooden spoon in the cupboard.
apoc_seed4,0001,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You find meat in the fridge that looks like it's gone bad. You also find a can of peas in the bottom of the pantry.,Search the farmhouse for other usable supplies.,"You find a medikit, and a flashlight with no batteries."
apoc_seed4,0002,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You find meat in the fridge that looks like it's gone bad. You also find a can of peas in the bottom of the pantry.,eat meat,Nausea sets in immediately.
apoc_seed4,0003,Long ago the bombs fell and the world ended. You are one of the few who is still alive. You are trying to survive by scavenging among the ruins of what is left behind. ,You find meat in the fridge that looks like it's gone bad. You also find a can of peas in the bottom of the pantry.,eat peas,The peas were delicious.
